season,phase,lag,n_days
JJA,1,0,92
JJA,1,5,100
JJA,1,10,108
JJA,2,0,65
JJA,2,5,77
JJA,2,10,89
JJA,3,0,59
JJA,3,5,68
JJA,3,10,68
JJA,4,0,59
JJA,4,5,59
JJA,4,10,53
JJA,5,0,86
JJA,5,5,74
JJA,5,10,70
JJA,6,0,85
JJA,6,5,85
JJA,6,10,86
JJA,7,0,75
JJA,7,5,81
JJA,7,10,90
JJA,8,0,70
JJA,8,5,75
JJA,8,10,70
JJ,1,0,76
JJ,1,5,76
JJ,1,10,79
JJ,2,0,51
JJ,2,5,63
JJ,2,10,75
JJ,3,0,45
JJ,3,5,54
JJ,3,10,54
JJ,4,0,45
JJ,4,5,46
JJ,4,10,43
JJ,5,0,50
JJ,5,5,45
JJ,5,10,41
JJ,6,0,59
JJ,6,5,55
JJ,6,10,53
JJ,7,0,60
JJ,7,5,66
JJ,7,10,70
JJ,8,0,44
JJ,8,5,54
JJ,8,10,59
AUG,1,0,16
AUG,1,5,24
AUG,1,10,29
AUG,2,0,14
AUG,2,5,14
AUG,2,10,14
AUG,3,0,14
AUG,3,5,14
AUG,3,10,14
AUG,4,0,14
AUG,4,5,13
AUG,4,10,10
AUG,5,0,36
AUG,5,5,29
AUG,5,10,29
AUG,6,0,26
AUG,6,5,30
AUG,6,10,33
AUG,7,0,15
AUG,7,5,15
AUG,7,10,20
AUG,8,0,26
AUG,8,5,21
AUG,8,10,11
