season,phase,lag,n_days
JJA,1,0,145
JJA,1,5,148
JJA,1,10,136
JJA,2,0,159
JJA,2,5,142
JJA,2,10,129
JJA,3,0,37
JJA,3,5,35
JJA,3,10,35
JJA,4,0,36
JJA,4,5,36
JJA,4,10,37
JJA,5,0,29
JJA,5,5,28
JJA,5,10,34
JJA,6,0,28
JJA,6,5,36
JJA,6,10,38
JJA,7,0,19
JJA,7,5,25
JJA,7,10,29
JJA,8,0,41
JJA,8,5,44
JJA,8,10,47
JJ,1,0,110
JJ,1,5,120
JJ,1,10,117
JJ,2,0,96
JJ,2,5,95
JJ,2,10,83
JJ,3,0,34
JJ,3,5,29
JJ,3,10,22
JJ,4,0,31
JJ,4,5,29
JJ,4,10,28
JJ,5,0,12
JJ,5,5,10
JJ,5,10,20
JJ,6,0,11
JJ,6,5,17
JJ,6,10,19
JJ,7,0,19
JJ,7,5,24
JJ,7,10,28
JJ,8,0,27
JJ,8,5,33
JJ,8,10,36
AUG,1,0,35
AUG,1,5,28
AUG,1,10,19
AUG,2,0,63
AUG,2,5,47
AUG,2,10,46
AUG,3,0,3
AUG,3,5,6
AUG,3,10,13
AUG,4,0,5
AUG,4,5,7
AUG,4,10,9
AUG,5,0,17
AUG,5,5,18
AUG,5,10,14
AUG,6,0,17
AUG,6,5,19
AUG,6,10,19
AUG,7,0,0
AUG,7,5,1
AUG,7,10,1
AUG,8,0,14
AUG,8,5,11
AUG,8,10,11
