season,phase,lag,n_days
JJA,1,0,283
JJA,1,5,293
JJA,1,10,286
JJA,2,0,195
JJA,2,5,198
JJA,2,10,191
JJA,3,0,111
JJA,3,5,104
JJA,3,10,97
JJA,4,0,116
JJA,4,5,114
JJA,4,10,113
JJA,5,0,159
JJA,5,5,161
JJA,5,10,164
JJA,6,0,195
JJA,6,5,195
JJA,6,10,186
JJA,7,0,100
JJA,7,5,103
JJA,7,10,108
JJA,8,0,96
JJA,8,5,106
JJA,8,10,125
JJ,1,0,188
JJ,1,5,203
JJ,1,10,202
JJ,2,0,114
JJ,2,5,121
JJ,2,10,121
JJ,3,0,72
JJ,3,5,78
JJ,3,10,76
JJ,4,0,83
JJ,4,5,81
JJ,4,10,84
JJ,5,0,106
JJ,5,5,104
JJ,5,10,102
JJ,6,0,110
JJ,6,5,102
JJ,6,10,85
JJ,7,0,66
JJ,7,5,64
JJ,7,10,73
JJ,8,0,85
JJ,8,5,92
JJ,8,10,108
AUG,1,0,95
AUG,1,5,90
AUG,1,10,84
AUG,2,0,81
AUG,2,5,77
AUG,2,10,70
AUG,3,0,39
AUG,3,5,26
AUG,3,10,21
AUG,4,0,33
AUG,4,5,33
AUG,4,10,29
AUG,5,0,53
AUG,5,5,57
AUG,5,10,62
AUG,6,0,85
AUG,6,5,93
AUG,6,10,101
AUG,7,0,34
AUG,7,5,39
AUG,7,10,35
AUG,8,0,11
AUG,8,5,14
AUG,8,10,17
