region,season,phase,lag,n_days,anom_mean
japan,JJA,1,0,520,-0.16382521059476604
japan,JJA,1,5,541,-0.002148429345056619
japan,JJA,1,10,530,-0.2618181544405653
japan,JJA,2,0,419,0.2147934058492625
japan,JJA,2,5,417,0.039556251546486995
japan,JJA,2,10,409,0.07563041751038203
japan,JJA,3,0,207,-0.5465656825514241
japan,JJA,3,5,207,-0.07384174572934259
japan,JJA,3,10,200,-0.18925216755185126
japan,JJA,4,0,211,0.6130019326478492
japan,JJA,4,5,209,0.28809541394081195
japan,JJA,4,10,203,0.2727609205708236
japan,JJA,5,0,274,0.3199233552446879
japan,JJA,5,5,263,-0.004400816811843274
japan,JJA,5,10,268,0.32509936741152606
japan,JJA,6,0,308,-0.6115773725016306
japan,JJA,6,5,316,-0.033868690611127975
japan,JJA,6,10,310,0.08953984819017051
japan,JJA,7,0,194,0.23606084565008778
japan,JJA,7,5,209,0.4174387535296849
japan,JJA,7,10,227,0.4667101860866803
japan,JJA,8,0,207,1.0555160576304263
japan,JJA,8,5,225,0.19142210902849885
japan,JJA,8,10,242,-0.09578655347322809
japan,JJ,1,0,374,-0.5396947420281804
japan,JJ,1,5,399,-0.21673600044684946
japan,JJ,1,10,398,-0.3050971952299689
japan,JJ,2,0,261,0.13101113398593775
japan,JJ,2,5,279,-0.1831710899406853
japan,JJ,2,10,279,0.0692962340254162
japan,JJ,3,0,151,-0.31410764937121444
japan,JJ,3,5,161,-0.11257078268216777
japan,JJ,3,10,152,-0.5707521300466609
japan,JJ,4,0,159,0.3675042584548363
japan,JJ,4,5,156,0.11559265193731201
japan,JJ,4,10,155,0.31655260237927463
japan,JJ,5,0,168,0.15300361596940612
japan,JJ,5,5,159,-0.16315818140375238
japan,JJ,5,10,163,0.5455821881749411
japan,JJ,6,0,180,-0.4989095591382199
japan,JJ,6,5,174,-0.15234991936455203
japan,JJ,6,10,157,-0.07039226793361673
japan,JJ,7,0,145,0.10472801181412175
japan,JJ,7,5,154,0.41062247891875325
japan,JJ,7,10,171,-0.14159440113485433
japan,JJ,8,0,156,1.2448807087396787
japan,JJ,8,5,179,-0.24520893758573978
japan,JJ,8,10,203,-0.32734464901261007
japan,AUG,1,0,146,0.7990186569345461
japan,AUG,1,5,142,0.6008124179666916
japan,AUG,1,10,132,-0.13132528667742072
japan,AUG,2,0,158,0.35319323479233533
japan,AUG,2,5,138,0.4898528350909124
japan,AUG,2,10,130,0.08922454946882938
japan,AUG,3,0,56,-1.1733721650014342
japan,AUG,3,5,46,0.06170988326567272
japan,AUG,3,10,48,1.0188310374796823
japan,AUG,4,0,52,1.3636582800864105
japan,AUG,4,5,53,0.7958393960266739
japan,AUG,4,10,48,0.13135028631698967
japan,AUG,5,0,106,0.5844753961631188
japan,AUG,5,5,104,0.2383147700856033
japan,AUG,5,10,105,-0.017173959621413014
japan,AUG,6,0,128,-0.7700164787946447
japan,AUG,6,5,142,0.11131253329208335
japan,AUG,6,10,153,0.2536531945425781
japan,AUG,7,0,49,0.6246988204903653
japan,AUG,7,5,55,0.43652431860842317
japan,AUG,7,10,56,2.324211692762941
japan,AUG,8,0,51,0.47628299580016015
japan,AUG,8,5,46,1.890486408158475
japan,AUG,8,10,39,1.109503024271493
north_japan,JJA,1,0,520,-0.22084397952761903
north_japan,JJA,1,5,541,-0.04243325752205465
north_japan,JJA,1,10,530,-0.08537515777259214
north_japan,JJA,2,0,419,-0.05187746615192988
north_japan,JJA,2,5,417,0.5017005659812706
north_japan,JJA,2,10,409,0.5460983092506616
north_japan,JJA,3,0,207,-0.12563210681323822
