region,season,phase,lag,n_days,anom_mean
japan,JJA,1,0,92,-0.5990458190660422
japan,JJA,1,5,100,0.22813277444196126
japan,JJA,1,10,108,0.08406314180037812
japan,JJA,2,0,65,0.3069215170848806
japan,JJA,2,5,77,0.30358627073963224
japan,JJA,2,10,89,0.10066396440872057
japan,JJA,3,0,59,0.18049970855499436
japan,JJA,3,5,68,0.26540818944824307
japan,JJA,3,10,68,-0.30721785540110924
japan,JJA,4,0,59,0.8539209656911423
japan,JJA,4,5,59,0.5539186726916099
japan,JJA,4,10,53,0.3332457313759581
japan,JJA,5,0,86,0.5288538276413562
japan,JJA,5,5,74,0.7405964624435046
japan,JJA,5,10,70,0.6248497988678703
japan,JJA,6,0,85,-0.3449885072947501
japan,JJA,6,5,85,-0.24937701032328
japan,JJA,6,10,86,-0.09987345230820358
japan,JJA,7,0,75,0.5745894504957034
japan,JJA,7,5,81,0.22195556056665627
japan,JJA,7,10,90,0.6491720422508126
japan,JJA,8,0,70,1.1102712426924135
japan,JJA,8,5,75,-0.05214608130525675
japan,JJA,8,10,70,-0.23942327462335608
japan,JJ,1,0,76,-0.8069294336819443
japan,JJ,1,5,76,0.1747888069122118
japan,JJ,1,10,79,0.06513769908879014
japan,JJ,2,0,51,0.08941053060033462
japan,JJ,2,5,63,0.3386205999169481
japan,JJ,2,10,75,0.11548473742568682
japan,JJ,3,0,45,0.38524635000686497
japan,JJ,3,5,54,0.1362771158874545
japan,JJ,3,10,54,-0.45005789197464396
japan,JJ,4,0,45,0.4775003694120494
japan,JJ,4,5,46,0.3549846378202735
japan,JJ,4,10,43,-0.2050568081386381
japan,JJ,5,0,50,0.6605566919482916
japan,JJ,5,5,45,0.4018777449721335
japan,JJ,5,10,41,0.3168989603512751
japan,JJ,6,0,59,-0.24832843031215715
japan,JJ,6,5,55,-0.8507981564197246
japan,JJ,6,10,53,-0.19981417578274094
japan,JJ,7,0,60,0.07421910092318601
japan,JJ,7,5,66,0.16733694640033966
japan,JJ,7,10,70,0.0505227827713069
japan,JJ,8,0,44,1.3320305960772008
japan,JJ,8,5,54,-0.8380665632725776
japan,JJ,8,10,59,-0.6381598816867843
japan,AUG,1,0,16,0.38840134970928425
japan,AUG,1,5,24,0.39705533321160486
japan,AUG,1,10,29,0.1356186596923329
japan,AUG,2,0,14,1.0992829583346064
japan,AUG,2,5,14,0.14593178406741253
japan,AUG,2,10,14,0.021266973158124154
japan,AUG,3,0,14,-0.4776144970660971
japan,AUG,3,5,14,0.7634851887084707
japan,AUG,3,10,14,0.2437365696210784
japan,AUG,4,0,14,2.0638443111126854
japan,AUG,4,5,13,1.2578390936384354
japan,AUG,4,10,10,2.647946659253582
japan,AUG,5,0,36,0.3459331807960253
japan,AUG,5,5,29,1.2661944769278448
japan,AUG,5,10,29,1.0602285669383318
japan,AUG,6,0,26,-0.5643325306183737
japan,AUG,6,5,30,0.853228425272653
japan,AUG,6,10,33,0.06063740511409438
japan,AUG,7,0,15,2.57607083836275
japan,AUG,7,5,15,0.46227748710376576
japan,AUG,7,10,20,2.7444444470502463
japan,AUG,8,0,26,0.7349861760775668
japan,AUG,8,5,21,1.968792306083915
japan,AUG,8,10,11,1.8992548917395558
north_japan,JJA,1,0,92,-0.7160862962291437
north_japan,JJA,1,5,100,-0.48704839747650064
