region,season,phase,lag,n_days,anom_mean
japan,JJA,1,0,145,0.36430841574152595
japan,JJA,1,5,148,0.10325684877661778
japan,JJA,1,10,136,0.003958766344766408
japan,JJA,2,0,159,0.250200224407192
japan,JJA,2,5,142,0.20948699202472132
japan,JJA,2,10,129,0.7485849279676909
japan,JJA,3,0,37,-0.17754125211928448
japan,JJA,3,5,35,0.07632867025349879
japan,JJA,3,10,35,-0.9093455257956301
japan,JJA,4,0,36,0.3410887318912453
japan,JJA,4,5,36,0.6629104330876404
japan,JJA,4,10,37,0.7877408110381524
japan,JJA,5,0,29,-0.14369148417828603
japan,JJA,5,5,28,-1.0059523664879793
japan,JJA,5,10,34,0.8095066516690556
japan,JJA,6,0,28,-0.7988910117071234
japan,JJA,6,5,36,1.7831762790519934
japan,JJA,6,10,38,2.7256644843859617
japan,JJA,7,0,19,0.6794293229276541
japan,JJA,7,5,25,1.2896303690955468
japan,JJA,7,10,29,-1.0519430913918788
japan,JJA,8,0,41,1.7506430360558716
japan,JJA,8,5,44,1.0633594291906143
japan,JJA,8,10,47,-0.27767620637811563
japan,JJ,1,0,110,-0.1224408183891706
japan,JJ,1,5,120,-0.43540082367761257
japan,JJ,1,10,117,-0.13948484121404517
japan,JJ,2,0,96,0.2356285446092215
japan,JJ,2,5,95,-0.03279363940800211
japan,JJ,2,10,83,0.8027121256884043
japan,JJ,3,0,34,-0.1631442018470657
japan,JJ,3,5,29,0.36993408196781524
japan,JJ,3,10,22,-1.6368488265134302
japan,JJ,4,0,31,0.12413999092660515
japan,JJ,4,5,29,0.21596555016388302
japan,JJ,4,10,28,0.8923747950499695
japan,JJ,5,0,12,-0.6870101777035132
japan,JJ,5,5,10,-1.3793888829598726
japan,JJ,5,10,20,1.279052307752121
japan,JJ,6,0,11,-2.015178741625217
japan,JJ,6,5,17,0.15092155402415983
japan,JJ,6,10,19,2.654431353751834
japan,JJ,7,0,19,0.6794293229276541
japan,JJ,7,5,24,1.4226144945636234
japan,JJ,7,10,28,-1.3997817507152928
japan,JJ,8,0,27,2.683740038918351
japan,JJ,8,5,33,1.1562815248190128
japan,JJ,8,10,36,-1.1119843835405046
japan,AUG,1,0,35,1.894091707700597
japan,AUG,1,5,28,2.4117897245084348
japan,AUG,1,10,19,0.8872694102947608
japan,AUG,2,0,63,0.2724046859447162
japan,AUG,2,5,47,0.6992031681262433
japan,AUG,2,10,46,0.6509206358145349
japan,AUG,3,0,3,-0.34070786508172396
japan,AUG,3,5,6,-1.3427641506068317
japan,AUG,3,10,13,0.32181391322605035
japan,AUG,4,0,5,1.686170886788353
japan,AUG,4,5,7,2.5145392276580276
japan,AUG,4,10,9,0.4622128567817104
japan,AUG,5,0,17,0.23982759381388538
japan,AUG,5,5,18,-0.798487627675039
japan,AUG,5,10,14,0.13872714566986663
japan,AUG,6,0,17,-0.011881295539312732
japan,AUG,6,5,19,3.243614712755375
japan,AUG,6,10,19,2.796897614412178
japan,AUG,7,0,0,
japan,AUG,7,5,1,-1.9019887042010393
japan,AUG,7,10,1,8.687539414368453
japan,AUG,8,0,14,-0.048901197089274415
japan,AUG,8,5,11,0.7845931419503052
japan,AUG,8,10,11,2.4527869085877074
north_japan,JJA,1,0,145,0.07112111551913708
north_japan,JJA,1,5,148,0.6727980739381646
north_japan,JJA,1,10,136,0.8793535303949154
north_japan,JJA,2,0,159,-0.35974220792146744
north_japan,JJA,2,5,142,0.6845698272901606
north_japan,JJA,2,10,129,1.2136070024994576
north_japan,JJA,3,0,37,2.9501283582661784
north_japan,JJA,3,5,35,1.1662011487995196
north_japan,JJA,3,10,35,0.1344415180974138
north_japan,JJA,4,0,36,-0.4307330127631397
north_japan,JJA,4,5,36,0.09573379536341778
north_japan,JJA,4,10,37,1.4031300321128757
north_japan,JJA,5,0,29,-0.31135898140828294
north_japan,JJA,5,5,28,0.655115425759258
north_japan,JJA,5,10,34,0.7817318084510814
north_japan,JJA,6,0,28,2.250401125668376
north_japan,JJA,6,5,36,2.3881005843929066
north_japan,JJA,6,10,38,1.5907599480280765
north_japan,JJA,7,0,19,-0.6187692007699174
north_japan,JJA,7,5,25,-0.5053144404777732
north_japan,JJA,7,10,29,-0.446296742082487
north_japan,JJA,8,0,41,1.8515221238062785
north_japan,JJA,8,5,44,-0.7492926251597798
north_japan,JJA,8,10,47,-0.28422536829561257
north_japan,JJ,1,0,110,-0.6646026807329858
north_japan,JJ,1,5,120,-0.26964799960564606
north_japan,JJ,1,10,117,0.5502652180961015
north_japan,JJ,2,0,96,-0.41337413944744966
north_japan,JJ,2,5,95,0.27745809966595547
north_japan,JJ,2,10,83,-0.16672072912151642
north_japan,JJ,3,0,34,3.048950792209322
north_japan,JJ,3,5,29,1.521818176919528
north_japan,JJ,3,10,22,-0.45516596531245596
north_japan,JJ,4,0,31,-1.1221667658971113
north_japan,JJ,4,5,29,-0.694841082158399
north_japan,JJ,4,10,28,1.5700316900877467
north_japan,JJ,5,0,12,-1.9744737781657382
north_japan,JJ,5,5,10,-0.0494442359927147
north_japan,JJ,5,10,20,-0.7336707917569533
north_japan,JJ,6,0,11,-1.6936907594620194
north_japan,JJ,6,5,17,-0.8425225889487756
north_japan,JJ,6,10,19,-0.05215168902296141
north_japan,JJ,7,0,19,-0.6187692007699174
north_japan,JJ,7,5,24,-0.5395677013778619
north_japan,JJ,7,10,28,-1.1881779056240231
north_japan,JJ,8,0,27,0.5717429667757205
north_japan,JJ,8,5,33,-0.039374165163806686
north_japan,JJ,8,10,36,-0.9158602548606684
north_japan,AUG,1,0,35,2.383395910080307
north_japan,AUG,1,5,28,4.711852671547814
north_japan,AUG,1,10,19,2.905844712891619
north_japan,AUG,2,0,63,-0.278017361837534
north_japan,AUG,2,5,47,1.5074552502522134
north_japan,AUG,2,10,46,3.7041983395155813
north_japan,AUG,3,0,3,1.8301407361799937
north_japan,AUG,3,5,6,-0.5526145211622799
north_japan,AUG,3,10,13,1.1322387916641525
north_japan,AUG,4,0,5,3.856156255132244
north_japan,AUG,4,5,7,3.370972547088637
north_japan,AUG,4,10,9,0.8838804434531417
north_japan,AUG,5,0,17,0.8626044094408287
north_japan,AUG,5,5,18,1.046537462794932
north_japan,AUG,5,10,14,2.9465926519947856
north_japan,AUG,6,0,17,4.802460583227052
north_japan,AUG,6,5,19,5.278658133019696
north_japan,AUG,6,10,19,3.2336715859743133
north_japan,AUG,7,0,0,
north_japan,AUG,7,5,1,0.3167638594797026
