region,season,phase,lag,n_days,anom_mean
japan,JJA,1,0,283,-0.29293856593292106
japan,JJA,1,5,293,-0.13398495221087758
japan,JJA,1,10,286,-0.5188141011954694
japan,JJA,2,0,195,0.1552138607565597
japan,JJA,2,5,198,-0.18499161171202594
japan,JJA,2,10,191,-0.3905429720984298
japan,JJA,3,0,111,-1.056032007483195
japan,JJA,3,5,104,-0.3461971340461501
japan,JJA,3,10,97,0.1532729230030117
japan,JJA,4,0,116,0.5748523832249308
japan,JJA,4,5,114,0.03215758047144613
japan,JJA,4,10,113,0.07577020506032613
japan,JJA,5,0,159,0.29147561773590885
japan,JJA,5,5,161,-0.1726390485420743
japan,JJA,5,10,164,0.0967312096571211
japan,JJA,6,0,195,-0.7008864559760418
japan,JJA,6,5,195,-0.27538362290025764
japan,JJA,6,10,186,-0.36144505908579816
japan,JJA,7,0,100,-0.10207561680672161
japan,JJA,7,5,103,0.35947125557195897
japan,JJA,7,10,108,0.7224451689932578
japan,JJA,8,0,96,0.7187132572687943
japan,JJA,8,5,106,0.0018218490921848556
japan,JJA,8,10,125,0.05304052057896695
japan,JJ,1,0,188,-0.6758016320966823
japan,JJ,1,5,203,-0.23405672113019044
japan,JJ,1,10,202,-0.5458160162366099
japan,JJ,2,0,114,0.06152305900804234
japan,JJ,2,5,121,-0.5729126983329531
japan,JJ,2,10,121,-0.4624199338647781
japan,JJ,3,0,72,-0.8224921948245042
japan,JJ,3,5,78,-0.4642429341441287
japan,JJ,3,10,76,-0.3479016219504038
japan,JJ,4,0,83,0.3987628983948101
japan,JJ,4,5,81,-0.05629433272045919
japan,JJ,4,10,84,0.3916262121622817
japan,JJ,5,0,106,0.008687686862612416
japan,JJ,5,5,104,-0.2906996212129476
japan,JJ,5,10,102,0.4936862044109778
japan,JJ,6,0,110,-0.4816852461434655
japan,JJ,6,5,102,0.17371907864513197
japan,JJ,6,10,85,-0.598772123855068
japan,JJ,7,0,66,-0.032980927641645806
japan,JJ,7,5,64,0.2820136776911493
japan,JJ,7,10,73,0.15677604963573707
japan,JJ,8,0,85,0.7427183935885656
japan,JJ,8,5,92,-0.39993582177405107
japan,JJ,8,10,108,0.10399914023500458
japan,AUG,1,0,95,0.46472728966127136
japan,AUG,1,5,90,0.09173247933586719
japan,AUG,1,10,84,-0.4538809247825685
japan,AUG,2,0,81,0.28707499245826906
japan,AUG,2,5,77,0.4245986644070793
japan,AUG,2,10,70,-0.2662985054354954
japan,AUG,3,0,39,-1.4871824292446987
japan,AUG,3,5,26,0.007940267046724436
japan,AUG,3,10,21,1.9670474661126163
