year,JJA_ONI,ENSO_category
1979,0.0,Neutral
1980,0.2,Neutral
1981,-0.3,Neutral
1982,0.9,ElNino
1983,0.1,Neutral
1984,-0.2,Neutral
1985,-0.4,Neutral
1986,0.3,Neutral
1987,1.3,ElNino
1988,-1.6,LaNina
1989,-0.3,Neutral
1990,0.3,Neutral
1991,0.8,ElNino
1992,0.5,ElNino
1993,0.5,ElNino
1994,0.7,ElNino
1995,-0.3,Neutral
1996,-0.2,Neutral
1997,1.7,ElNino
1998,-1.2,LaNina
1999,-1.0,LaNina
2000,-0.4,Neutral
2001,0.0,Neutral
2002,0.9,ElNino
2003,0.0,Neutral
2004,0.7,ElNino
2005,-0.1,Neutral
2006,0.1,Neutral
2007,-0.6,LaNina
2008,-0.3,Neutral
2009,0.3,Neutral
2010,-1.3,LaNina
2011,-0.4,Neutral
2012,0.3,Neutral
2013,-0.4,Neutral
2014,-0.1,Neutral
2015,1.3,ElNino
2016,-0.9,LaNina
2017,-0.2,Neutral
2018,0.1,Neutral
2019,0.0,Neutral
2020,-0.8,LaNina
2021,-0.6,LaNina
2022,-0.9,LaNina
2023,0.6,ElNino
